くまのプーさん　みんなのクリスマス,a
ミッキーのクリスマスキャロル,b
ドナルド劇場: ミッキーマウス！クリスマス・スペシャル,c
ミッキーのクリスマスの贈りもの,d
ポップアップ ミッキー／すてきなクリスマス,a
リラクタント・ドラゴン,b
イカボードとトード氏,c
みんなで歌おう／「アナと雪の女王」,d
ファン・アンド・ファンシー・フリー,a
ミッキーの王子と少年,b
ファンタジア／2000,c
シュガー・ラッシュ：オンライン,d
くまのプーさん / ランピーとぶるぶるオバケ,a
コルドロン,b
オリビアちゃんの大冒険,c
オリバー／ニューヨーク子猫ものがたり,d
プレーンズ2,a
プレーンズ,b
キム・ポッシブル ザ・ムービー ドラマチック・ナイト,c
アナと雪の女王のすべて～新しい冒険,d
ラマになった王様2／クロンクのノリノリ大作戦,a
ロジャー・ラビット,b
ミッキーの夢物語,c
アヒルのラッキー,d
ティガームービー／プーさんの贈りもの,a
フィニアスとファーブ／ザ・ムービー,b
ターザン＆ジェーン,c
ライオン・キング2  シンバズ・プライド,d
ライオン・キング3  ハクナ・マタタ,a
アナと雪の女王のすべて,b
ピーター・パン2／ネバーランドの秘密,c
リロイ＆スティッチ,d
メロディ・タイム,a
三人の騎士,b
ラテン・アメリカの旅,c
ダックテイル・ザ・ムービー／失われた魔法のランプ,d
アラジン完結編／盗賊王の伝説,a
アラジン／ジャファーの逆襲,b
美女と野獣／ベルのファンタジーワールド,c
史上最強のグーフィー・ムービー Ｘゲームで大パニック！,d
グーフィー・ムービー／ホリデーは最高！！,a
ラプンツェル ザ・シリーズ ／コロナの壁を越えて,b
ノートルダムの鐘 II,c
ノートルダムの鐘,d
ラプンツェルのウェディング,a
ムーラン 2,b
ムーラン,c
きつねと猟犬2／トッドとコッパーの大冒険,d
きつねと猟犬,a
モアナと伝説の海,b
ズートピア,c
ベイマックス,d
魔法にかけられて,a
ターザン2,b
ターザン,c
美女と野獣／ベルの素敵なプレゼント,d
美女と野獣,a
ダンボ,b
塔の上のラプンツェル,c
アラジン,d
リトル・マーメイド,a
くまのプーさん,b
ライオン・キング,c
シュガー・ラッシュ,d
白雪姫,a
眠れる森の美女,b
シンデレラ,c
フランケンウィニー,d
リトル・マーメイドⅢ／はじまりの物語,a
シンデレラⅢ　戻された時計の針,b
ブラザー・ベア2,c
バンビ2／森のプリンス,d
スティッチ！ザ・ムービー,a
くまのプーさん ザ・ムービー／はじめまして、ランピー！,b
くまのプーさん／完全保存版II ピグレット・ムービー,c
ブラザー・ベア,d
シンデレラII,a
リトル・マーメイドII／Return to The Sea,b
ポカホンタスⅡ／イングランドへの旅立ち,c
くまのプーさん／クリストファー・ロビンを探せ！,d
ナイトメアー・ビフォア・クリスマス,a
ロビンフッド,b
ピノキオ,c
くまのプーさん／完全保存版,d
ジャングル・ブック,a
バンビ,b
おしゃれキャット,c
ジャイアント・ピーチ,d
ポカホンタス,a
アナと雪の女王,b
ふしぎの国のアリス,c
102,d
101匹わんちゃんⅡ～パッチのはじめての冒険,a
アナと雪の女王／家族の思い出,b
アナと雪の女王 エルサのサプライズ,c
白雪姫 魔法の秘密,d
ピクシー・ホロウ・ゲームズ／妖精たちの祭典,a
くまのプーさん／ルーの楽しい春の日,b
プリンセスと魔法のキス,c
ライアンを探せ！,d
トレジャー･プラネット,a
ビアンカの大冒険,b
ビアンカの大冒険 ～ゴールデン・イーグルを救え！,c
ルイスと未来泥棒,d
少年マイロの火星冒険記,a
リロ＆スティッチ2,b
ジャングル・ブック2,c
ホーム・オン・ザ・レンジ／にぎやか農場を救え！,d
ヘラクレス,a
ラマになった王様,b
ダイナソー,c
チキン・リトル,d
ボルト,a
アトランティス／失われた帝国,b
アトランティス／帝国最後の謎,c
ファンタジア,d
わんわん物語Ⅱ,a
リロ＆スティッチ,b
わんわん物語,c
ミッキー、ドナルド、グーフィーの三銃士,d
101匹わんちゃん,a
ピーター・パン,b
ティンカー・ベルと輝く羽の秘密,c
ティンカー・ベルと流れ星の伝説,d
ティンカー・ベルと妖精の家,a
ティンカー・ベルとネバーランドの海賊船,b
ティンカー・ベル,c
